序号,变量名,数据类型,隐藏初始值,初始值,掉电保持,网络公开,注释,软元件地址,
42,ERR_LEG_LIMIT,INT,,2103,不保持,私有,腿角度轴限位触发,,
43,ERR_SEAT_FAULT,INT,,2201,不保持,私有,座扭角轴故障,,
44,ERR_SEAT_LIMIT,INT,,2203,不保持,私有,座扭角轴限位触发,,
45,ERR_TRIAXIS_TIMEOUT,INT,,2301,不保持,私有,三轴联动超时,,
46,ERR_TRIAXIS_READY_TIMEOUT,INT,,2302,不保持,私有,,,
47,ERR_TRIAXIS_ACK_TIMEOUT,INT,,2303,不保持,私有,,,
48,ERR_TRIAXIS_CYCLE_TIMEOUT,INT,,2304,不保持,私有,,,
49,ERR_PUSHER_GENERAL,INT,,3000,不保持,私有,电推杆通用故障,,
50,ERR_PUSHER_TIMEOUT,INT,,3001,不保持,私有,电推杆超时,,
51,ERR_PUSHER_INTERLOCK,INT,,3010,不保持,私有,电推杆联锁阻止,,
52,ERR_PUSHER_SENSOR_STUCK_ON,INT,,3021,不保持,私有,电推杆原点传感器卡住ON,,
53,ERR_PUSHER_SENSOR_STUCK_OFF,INT,,3022,不保持,私有,电推杆原点传感器卡住OFF,,
54,ERR_PUSHER_SENSOR_IMPLAUSIBLE,INT,,3023,不保持,私有,电推杆原点传感器信号不可信,,
55,ERR_PUSHER_REFERENCE_INVALID,INT,,3024,不保持,私有,电推杆参考值无效,,
56,ERR_PUSHER_MANUAL_PRESET_DENIED,INT,,3025,不保持,私有,电推杆手动预置位置被拒绝,,
57,ERR_PUSHER_CALIB_SEARCH_UP_TIMEOUT,INT,,3101,不保持,私有,电推杆校准上搜超时,,
58,ERR_PUSHER_CALIB_SEARCH_DOWN_TIMEOUT,INT,,3102,不保持,私有,电推杆校准下搜超时,,
59,ERR_PUSHER_CALIB_LEAVE_SENSOR_TIMEOUT,INT,,3103,不保持,私有,电推杆校准离开传感器超时,,
60,ERR_PUSHER_CALIB_REAPPROACH_TIMEOUT,INT,,3104,不保持,私有,电推杆校准二次接近超时,,
61,ERR_PUSHER_CALIB_LEAVE_SENSOR_STALL,INT,,3105,不保持,私有,电推杆校准离开传感器堵转,,
62,ERR_PUSHER_CALIB_REAPPROACH_STALL,INT,,3106,不保持,私有,电推杆校准二次接近堵转,,
63,ERR_PUSHER_CALIB_SEARCH_DOWN_STALL,INT,,3107,不保持,私有,电推杆校准下搜堵转,,
64,ERR_PUSHER_JOG_INTERLOCK,INT,,3111,不保持,私有,电推杆点动联锁阻止,,
65,ERR_PUSHER_MOVE_PARAM_INVALID,INT,,3121,不保持,私有,电推杆移动参数无效,,
66,ERR_PUSHER_MOVE_TIMEOUT,INT,,3122,不保持,私有,电推杆移动超时,,
67,ERR_HOMING_TIMEOUT,INT,,4010,不保持,私有,回零总超时,,
68,ERR_HOME_TIMEOUT,INT,,4001,不保持,私有,回零超时,,
69,ERR_HOME_AXIS_ERROR,INT,,4002,不保持,私有,回零轴错误,,
70,ERR_HOME_ORIGIN_LOST,INT,,4003,不保持,私有,原点丢失,,
