序号,变量名,数据类型,隐藏初始值,初始值,掉电保持,网络公开,注释,软元件地址,
,HMI.Condition.Param.LegAngle.rReserved,REAL,,0.000000,,,,D353,
,HMI.Condition.Param.LegAngle.iVelocityMode,INT,,0,,,"速度切换模式 (* 速度模式：       0 = 各段使用独立速度（arVelocity 数组）       1 = 所有段使用 arVelocity[0] 的速度 *)",D355,
,HMI.Condition.Param.LegAngle.iCycleModeLen,INT,,0,,," 方向数组有效长度：abCycleMode 的有效元素个数       范围：1 ~ 16       例如 iCycleModeLen=2 时，方向按 [0,1,0,1...] 循环",D356,
,HMI.Condition.Param.LegAngle.iCycleCount,INT,,0,,,"循环次数：该轴独立的循环次数设置       -1 = 使用 Stru_工作参数.iCycleCount 全局值       ≥0 = 使用此独立值       一次循环 = 执行完 arPosition 全部段",D357,
,HMI.Condition.Param.LegAngle.iSignalMode,INT,,0,,,"信号模式：该轴独立的信号触发模式       -1 = 使用 Stru_工作参数.iSignalMode 全局值       0  = 点动模式：每次循环都需要信号触发       1  = 连动模式：首次需要信号，后续自动执行",D358,
,HMI.Condition.Param.LegAngle.iSegmentCount,INT,,0,,,"运动段数：arPosition/arVelocity 的有效元素个数       范围：1 ~ 16       ?? 必须 > 0，否则报错 1005",D359,
,HMI.Condition.Param.LegAngle.iPadInt,INT,,0,,,,D360,
,HMI.Condition.Param.LegAngle.bEnabled,BOOL,,OFF,,,"轴使能：是否启用此轴的往复运动       TRUE  = 启用，参与联动       FALSE = 禁用，不执行运动（用于 2 轴联动场景）",D361.0,
,HMI.Condition.Param.LegAngle.bOneWay,BOOL,,OFF,,,单向还是多向,D361.1,
,HMI.Condition.Param.LegAngle.abCycleMode,BOOL[16],,...,,,"方向模式数组：定义每个循环周期的方向       FALSE = 正向（使用 arPosition 原值）       TRUE  = 反向（使用 -arPosition）       示例：[FALSE, TRUE] 表示第1次正向，第2次反",,
,HMI.Condition.Param.LegAngle.abCycleMode[0],BOOL,,OFF,,,,D362.0,
,HMI.Condition.Param.LegAngle.abCycleMode[1],BOOL,,OFF,,,,D362.1,
,HMI.Condition.Param.LegAngle.abCycleMode[2],BOOL,,OFF,,,,D362.2,
,HMI.Condition.Param.LegAngle.abCycleMode[3],BOOL,,OFF,,,,D362.3,
,HMI.Condition.Param.LegAngle.abCycleMode[4],BOOL,,OFF,,,,D362.4,
,HMI.Condition.Param.LegAngle.abCycleMode[5],BOOL,,OFF,,,,D362.5,
,HMI.Condition.Param.LegAngle.abCycleMode[6],BOOL,,OFF,,,,D362.6,
,HMI.Condition.Param.LegAngle.abCycleMode[7],BOOL,,OFF,,,,D362.7,
,HMI.Condition.Param.LegAngle.abCycleMode[8],BOOL,,OFF,,,,D362.8,
,HMI.Condition.Param.LegAngle.abCycleMode[9],BOOL,,OFF,,,,D362.9,
,HMI.Condition.Param.LegAngle.abCycleMode[10],BOOL,,OFF,,,,D362.10,
,HMI.Condition.Param.LegAngle.abCycleMode[11],BOOL,,OFF,,,,D362.11,
,HMI.Condition.Param.LegAngle.abCycleMode[12],BOOL,,OFF,,,,D362.12,
,HMI.Condition.Param.LegAngle.abCycleMode[13],BOOL,,OFF,,,,D362.13,
,HMI.Condition.Param.LegAngle.abCycleMode[14],BOOL,,OFF,,,,D362.14,
,HMI.Condition.Param.LegAngle.abCycleMode[15],BOOL,,OFF,,,,D362.15,
,HMI.Condition.Param.LegAngle.bPad0,BOOL,,OFF,,,,D363.0,
,HMI.Condition.Param.LegAngle.bPad1,BOOL,,OFF,,,,D363.1,
,HMI.Condition.Param.ChestImpact,Stru_ReciprocationSettings,,...,,,"胸冲击轴配置       [0] = 胸背轴       [1] = 臀腿轴       [2] = 臀盘轴",,
,HMI.Condition.Param.ChestImpact.arPosition,REAL[16],,...,,,"位置数组    (* 位置数组：定义多段运动的目标位置       示例：[0, 100, 50, 150] 表示 4 段运动       - 第1段：当前位置 → 0       - 第2段：0 → 100       - 第3段：1",,
,HMI.Condition.Param.ChestImpact.arPosition[0],REAL,,0.000000,,,,D364,
,HMI.Condition.Param.ChestImpact.arPosition[1],REAL,,0.000000,,,,D366,
,HMI.Condition.Param.ChestImpact.arPosition[2],REAL,,0.000000,,,,D368,
,HMI.Condition.Param.ChestImpact.arPosition[3],REAL,,0.000000,,,,D370,
,HMI.Condition.Param.ChestImpact.arPosition[4],REAL,,0.000000,,,,D372,
,HMI.Condition.Param.ChestImpact.arPosition[5],REAL,,0.000000,,,,D374,
,HMI.Condition.Param.ChestImpact.arPosition[6],REAL,,0.000000,,,,D376,
,HMI.Condition.Param.ChestImpact.arPosition[7],REAL,,0.000000,,,,D378,
,HMI.Condition.Param.ChestImpact.arPosition[8],REAL,,0.000000,,,,D380,
,HMI.Condition.Param.ChestImpact.arPosition[9],REAL,,0.000000,,,,D382,
,HMI.Condition.Param.ChestImpact.arPosition[10],REAL,,0.000000,,,,D384,
,HMI.Condition.Param.ChestImpact.arPosition[11],REAL,,0.000000,,,,D386,
,HMI.Condition.Param.ChestImpact.arPosition[12],REAL,,0.000000,,,,D388,
,HMI.Condition.Param.ChestImpact.arPosition[13],REAL,,0.000000,,,,D390,
,HMI.Condition.Param.ChestImpact.arPosition[14],REAL,,0.000000,,,,D392,
,HMI.Condition.Param.ChestImpact.arPosition[15],REAL,,0.000000,,,,D394,
,HMI.Condition.Param.ChestImpact.arVelocity,REAL[16],,...,,,"(* 速度数组：对应每段运动的速度       与 arPosition 一一对应       单位：用户单位/秒 *)",,
,HMI.Condition.Param.ChestImpact.arVelocity[0],REAL,,0.000000,,,,D396,
,HMI.Condition.Param.ChestImpact.arVelocity[1],REAL,,0.000000,,,,D398,
,HMI.Condition.Param.ChestImpact.arVelocity[2],REAL,,0.000000,,,,D400,
,HMI.Condition.Param.ChestImpact.arVelocity[3],REAL,,0.000000,,,,D402,
,HMI.Condition.Param.ChestImpact.arVelocity[4],REAL,,0.000000,,,,D404,
,HMI.Condition.Param.ChestImpact.arVelocity[5],REAL,,0.000000,,,,D406,
,HMI.Condition.Param.ChestImpact.arVelocity[6],REAL,,0.000000,,,,D408,
,HMI.Condition.Param.ChestImpact.arVelocity[7],REAL,,0.000000,,,,D410,
,HMI.Condition.Param.ChestImpact.arVelocity[8],REAL,,0.000000,,,,D412,
,HMI.Condition.Param.ChestImpact.arVelocity[9],REAL,,0.000000,,,,D414,
,HMI.Condition.Param.ChestImpact.arVelocity[10],REAL,,0.000000,,,,D416,
,HMI.Condition.Param.ChestImpact.arVelocity[11],REAL,,0.000000,,,,D418,
,HMI.Condition.Param.ChestImpact.arVelocity[12],REAL,,0.000000,,,,D420,
,HMI.Condition.Param.ChestImpact.arVelocity[13],REAL,,0.000000,,,,D422,
,HMI.Condition.Param.ChestImpact.arVelocity[14],REAL,,0.000000,,,,D424,
,HMI.Condition.Param.ChestImpact.arVelocity[15],REAL,,0.000000,,,,D426,
,HMI.Condition.Param.ChestImpact.rAcc,REAL,,0.000000,,,"(* 加速度：运动加速阶段的加速度       ?? 必须 > 0，否则运动异常！       单位：用户单位/秒2 *)",D428,
,HMI.Condition.Param.ChestImpact.rDec,REAL,,0.000000,,,"  (* 减速度：运动减速阶段的减速度       ?? 必须 > 0，否则运动异常！       单位：用户单位/秒2 *)",D430,
,HMI.Condition.Param.ChestImpact.rInitialPosition,REAL,,0.000000,,,"初始位置：运动开始前的参考位置       用于某些需要回原点的场景       单位：用户单位",D432,
,HMI.Condition.Param.ChestImpact.rReserved,REAL,,0.000000,,,,D434,
,HMI.Condition.Param.ChestImpact.iVelocityMode,INT,,0,,,"速度切换模式 (* 速度模式：       0 = 各段使用独立速度（arVelocity 数组）       1 = 所有段使用 arVelocity[0] 的速度 *)",D436,
,HMI.Condition.Param.ChestImpact.iCycleModeLen,INT,,0,,," 方向数组有效长度：abCycleMode 的有效元素个数       范围：1 ~ 16       例如 iCycleModeLen=2 时，方向按 [0,1,0,1...] 循环",D437,
,HMI.Condition.Param.ChestImpact.iCycleCount,INT,,0,,,"循环次数：该轴独立的循环次数设置       -1 = 使用 Stru_工作参数.iCycleCount 全局值       ≥0 = 使用此独立值       一次循环 = 执行完 arPosition 全部段",D438,
,HMI.Condition.Param.ChestImpact.iSignalMode,INT,,0,,,"信号模式：该轴独立的信号触发模式       -1 = 使用 Stru_工作参数.iSignalMode 全局值       0  = 点动模式：每次循环都需要信号触发       1  = 连动模式：首次需要信号，后续自动执行",D439,
,HMI.Condition.Param.ChestImpact.iSegmentCount,INT,,0,,,"运动段数：arPosition/arVelocity 的有效元素个数       范围：1 ~ 16       ?? 必须 > 0，否则报错 1005",D440,
,HMI.Condition.Param.ChestImpact.iPadInt,INT,,0,,,,D441,
,HMI.Condition.Param.ChestImpact.bEnabled,BOOL,,OFF,,,"轴使能：是否启用此轴的往复运动       TRUE  = 启用，参与联动       FALSE = 禁用，不执行运动（用于 2 轴联动场景）",D442.0,
,HMI.Condition.Param.ChestImpact.bOneWay,BOOL,,OFF,,,单向还是多向,D442.1,
,HMI.Condition.Param.ChestImpact.abCycleMode,BOOL[16],,...,,,"方向模式数组：定义每个循环周期的方向       FALSE = 正向（使用 arPosition 原值）       TRUE  = 反向（使用 -arPosition）       示例：[FALSE, TRUE] 表示第1次正向，第2次反",,
,HMI.Condition.Param.ChestImpact.abCycleMode[0],BOOL,,OFF,,,,D443.0,
,HMI.Condition.Param.ChestImpact.abCycleMode[1],BOOL,,OFF,,,,D443.1,
,HMI.Condition.Param.ChestImpact.abCycleMode[2],BOOL,,OFF,,,,D443.2,
,HMI.Condition.Param.ChestImpact.abCycleMode[3],BOOL,,OFF,,,,D443.3,
,HMI.Condition.Param.ChestImpact.abCycleMode[4],BOOL,,OFF,,,,D443.4,
,HMI.Condition.Param.ChestImpact.abCycleMode[5],BOOL,,OFF,,,,D443.5,
,HMI.Condition.Param.ChestImpact.abCycleMode[6],BOOL,,OFF,,,,D443.6,
,HMI.Condition.Param.ChestImpact.abCycleMode[7],BOOL,,OFF,,,,D443.7,
,HMI.Condition.Param.ChestImpact.abCycleMode[8],BOOL,,OFF,,,,D443.8,
,HMI.Condition.Param.ChestImpact.abCycleMode[9],BOOL,,OFF,,,,D443.9,
,HMI.Condition.Param.ChestImpact.abCycleMode[10],BOOL,,OFF,,,,D443.10,
,HMI.Condition.Param.ChestImpact.abCycleMode[11],BOOL,,OFF,,,,D443.11,
,HMI.Condition.Param.ChestImpact.abCycleMode[12],BOOL,,OFF,,,,D443.12,
,HMI.Condition.Param.ChestImpact.abCycleMode[13],BOOL,,OFF,,,,D443.13,
,HMI.Condition.Param.ChestImpact.abCycleMode[14],BOOL,,OFF,,,,D443.14,
,HMI.Condition.Param.ChestImpact.abCycleMode[15],BOOL,,OFF,,,,D443.15,
,HMI.Condition.Param.ChestImpact.bPad0,BOOL,,OFF,,,,D444.0,
,HMI.Condition.Param.ChestImpact.bPad1,BOOL,,OFF,,,,D444.1,
,HMI.Condition.Param.rPusherPos,REAL,,0.000000,,,"成角角度：设备成角机构的目标角度       用于成角阶段的控制       单位：度",D445,
,HMI.Condition.Param.rPusherInitPos,REAL,,0.000000,,,尾板初始角度,D447,
,HMI.Condition.Param.diBatchCount,DINT,,0,,,完整调理流程重复次数 (老化模式),D449,
,HMI.Condition.Param.diBatchInterval,DINT,,0,,,"批次间隔时间 (ms, 老化模式)",D451,
,HMI.Condition.Param.diTotalTimeout,DINT,,0,,,"总超时 (ms, 默认 300000)",D453,
,HMI.Condition.Param.diConfirmTimeout,DINT,,0,,,"HMI 等待确认超时设置 (ms, <=0=禁用)",D455,
,HMI.Condition.Param.iCycleCount,INT,,0,,," 全局循环次数：所有轴的默认循环次数       一次循环 = 执行完 arPosition 全部段",D457,
,HMI.Condition.Param.iSignalMode,INT,,0,,,"全局信号模式 (0=脚踏, 1=自动)",D458,
,HMI.Condition.Status,Stru_CondStatus,,...,,,调理状态显示,,
,HMI.Condition.Status.diActRunTime,DINT,,0,,,"实际运行时间 (ms, 含暂停时间)",D459,
,HMI.Condition.Status.diBatchCurrent,DINT,,0,,,已完成完整批次数 (老化模式),D461,
,HMI.Condition.Status.diBatchTarget,DINT,,0,,,目标完整批次数 (老化模式),D463,
,HMI.Condition.Status.diBatchRemainTime,DINT,,0,,,批次间隔剩余时间 (ms),D465,
,HMI.Condition.Status.iPhase,INT,,0,,,调理阶段 (0=空闲 1=预备 2=运行 3=成角 9=完成),D467,
,HMI.Condition.Status.iStep,INT,,0,,,当前步骤 (阶段内细分),D468,
,HMI.Condition.Status.iCurrentCycle,INT,,0,,,当前循环次数 (FBI_Cond 写入),D469,
,HMI.Condition.Status.iTargetCycles,INT,,0,,,目标循环次数,D470,
,HMI.Condition.Status.iErrorCode,INT,,0,,,错误码,D471,
,HMI.Condition.Status.iErrorLevel,INT,,0,,,"错误等级: 0=L0信息, 1=L1警告, 2=L2严重",D472,
,HMI.Condition.Status.iParamError,INT,,0,,,参数验证错误码,D473,
,HMI.Condition.Status.iParamErrorAxis,INT,,0,,,参数错误所在轴 (1=Chest 2=Leg 3=Seat 4=Tail),D474,
,HMI.Condition.Status.iParamErrorField,INT,,0,,,错误字段索引,D475,
,HMI.Condition.Status.pad_int,INT,,0,,,,D476,
,HMI.Condition.Status.bRunning,BOOL,,OFF,,,调理进行中,D477.0,
,HMI.Condition.Status.bDone,BOOL,,OFF,,,调理已完成,D477.1,
,HMI.Condition.Status.bPaused,BOOL,,OFF,,,暂停中,D477.2,
,HMI.Condition.Status.bError,BOOL,,OFF,,,错误激活,D477.3,
,HMI.Condition.Status.bBusy,BOOL,,OFF,,,"任意动作进行中",D477.4,
,HMI.Condition.Status.bWaitingAngle,BOOL,,OFF,,,等待成角,D477.5,
,HMI.Condition.Status.bHoming,BOOL,,OFF,,,回零中,D477.6,
,HMI.Condition.Status.bAngleDone,BOOL,,OFF,,,成角已完成,D477.7,
,HMI.Condition.Status.bWaitingSignal,BOOL,,OFF,,,等待脚踏信号,D477.8,
,HMI.Condition.Status.bMoving,BOOL,,OFF,,,往复动作中,D477.9,
,HMI.Condition.Status.bHomeDone,BOOL,,OFF,,,回零完成,D477.10,
,HMI.Condition.Status.bManualStop,BOOL,,OFF,,,手动停止,D477.11,
,HMI.Condition.Status.bEmergencyStop,BOOL,,OFF,,,紧急中止,D477.12,
,HMI.Condition.Status.bParamValid,BOOL,,OFF,,,参数校验通过,D477.13,
,HMI.Condition.Status.bApplyDone,BOOL,,OFF,,, 参数应用完成,D477.14,
,HMI.Condition.Status.bResetDone,BOOL,,OFF,,,调理复位完成,D477.15,
,HMI.Condition.Status.bBatchDone,BOOL,,OFF,,,批量运行完成 (老化模式),D478.0,
,HMI.Condition.ParamCmd,Stru_ConfigCmd,,...,,,参数管理 (Load/Apply/Save),,
,HMI.Condition.ParamCmd.iErrorCode,INT,,0,,,操作错误,D479,
,HMI.Condition.ParamCmd.bLoad,BOOL,,OFF,,,"加载, 从运行区读到缓冲区",D480.0,
,HMI.Condition.ParamCmd.bApply,BOOL,,OFF,,,"应用, 缓冲区覆盖运行区",D480.1,
,HMI.Condition.ParamCmd.bSave,BOOL,,OFF,,,"保存, 运行区写入 Retain",D480.2,
,HMI.Condition.ParamCmd.bResetDefault,BOOL,,OFF,,,恢复工厂默认 (统一命名),D480.3,
,HMI.Condition.ParamCmd.bSuccess,BOOL,,OFF,,,操作成功,D480.4,
,HMI.Condition.ParamCmd.bError,BOOL,,OFF,,,操作失败 (只读),D480.5,
,HMI.Condition.ParamCmd.bPad0,BOOL,,OFF,,,加载默认值,D480.6,
,HMI.Condition.ParamCmd.bPad1,BOOL,,OFF,,,对齐填充,D480.7,
,HMI.Sys,Stru_HMI_Sys,,...,,,系统,,
,HMI.Sys.Cmd,Stru_HMI_SysCmd,,...,,,,,
,HMI.Sys.Cmd.iWorkMode,INT,,0,,,"工作模式 (1=调理 2=治疗 3=老化测试), HMI 选择",D481,
,HMI.Sys.Cmd.iResetMode,INT,,0,,,复位模式 (0=快速 1=完整含回零),D482,
,HMI.Sys.Cmd.iHomingMode,INT,,0,,," 回零模式, 预留",D483,
,HMI.Sys.Cmd.iUserRole,INT,,0,,,用户角色 (0=ROLE_OPERATOR 1=ROLE_ENGINEER),D484,
,HMI.Sys.Cmd.iAuthCode,INT,,0,,,"权限校验码 (工程师=16#5A, 退出写0)",D485,
,HMI.Sys.Cmd.arReservedInt,INT[2],,...,,,,,
,HMI.Sys.Cmd.arReservedInt[0],INT,,0,,,,D486,
,HMI.Sys.Cmd.arReservedInt[1],INT,,0,,,,D487,
,HMI.Sys.Cmd.bServiceModeReq,BOOL,,OFF,,,"HMI 服务模式按钮请求, INPUT_ADAPTER 经 R_TRIG 生成 System.Cmd.bServiceReq",D488.0,
,HMI.Sys.Cmd.bHomingReq,BOOL,,OFF,,,"HMI 回零启动按钮, INPUT_ADAPTER 锁存后生成 System.Cmd.bHomingReq",D488.1,
,HMI.Sys.Cmd.bStopReq,BOOL,,OFF,,," HMI 系统级停止按钮请求, INPUT_ADAPTER 经 R_TRIG 生成 System.Cmd.bStop",D488.2,
,HMI.Sys.Cmd.bPause,BOOL,,OFF,,,"透传 Condition.Cmd.bPause, 仅运行中/待机/手动/校准有效 (IA:306)",D488.3,
,HMI.Sys.Cmd.bResume,BOOL,,OFF,,,"透传 Condition.Cmd.bResume, 同上 (IA:307)",D488.4,
,HMI.Sys.Cmd.bAutoStartReq,BOOL,,OFF,,,生产/调理流程启动 (在 AutoMode 下),D488.5,
,HMI.Sys.Cmd.bCalibrateReq,BOOL,,OFF,,,"R_TRIG bCalibReq, 仅 STANDBY/MANUAL 有效",D488.6,
,HMI.Sys.Cmd.bResetReq,BOOL,,OFF,,,"去抖(50ms) 后触发 bResetReq, 合并 I_Reset 硬件信号",D488.7,
,HMI.Sys.Cmd.bAckErrorReq,BOOL,,OFF,,,R_TRIG 后由 INPUT_ADAPTER 按状态门控写 System.Cmd.bAckError,D488.8,
,HMI.Sys.Cmd.bEmergencyStopReq,BOOL,,OFF,,," HMI 软件急停按钮请求, 无条件穿透到 System.Cmd.bTriggerEmergency",D488.9,
,HMI.Sys.Cmd.bInitializeReq,BOOL,,OFF,,,"HMI 初始化按钮请求, INPUT_ADAPTER 经 R_TRIG 生成 System.Cmd.bInitializeReq",D488.10,
,HMI.Sys.Cmd.bServiceMechHomeReq,BOOL,,OFF,,,R_TRIG + 6 重门控 (IA_bBuildZeroAllowed) -> bServiceMechHomeReq,D488.11,
,HMI.Sys.Cmd.bSelfTestConfirm,BOOL,,OFF,,,自检安全确认 (仅 STATE_SELFTEST 有效),D488.12,
,HMI.Sys.Cmd.bSelfTestSkip,BOOL,,OFF,,,跳过动态自检 (仅 STATE_SELFTEST 有效),D488.13,
,HMI.Sys.Cmd.bAllPowerOffReq,BOOL,,OFF,,,"R_TRIG System.Cmd.bAllPowerOff, 仅 STANDBY/MANUAL 有效",D488.14,
,HMI.Sys.Cmd.bAllPowerOnReq,BOOL,,OFF,,,"R_TRIG System.Cmd.bAllPowerOn, 仅 STANDBY/MANUAL 有效",D488.15,
,HMI.Sys.Cmd.bRevalidateParams,BOOL,,OFF,,,,D489.0,
,HMI.Sys.Cmd.bServiceAuthConfirm,BOOL,,OFF,,,电平型软件确认: 维护授权 (建零门禁条件之一),D489.1,
,HMI.Sys.Cmd.bNoLoadConfirm,BOOL,,OFF,,,电平型软件确认: 无负载确认 (建零门禁条件之一),D489.2,
,HMI.Sys.Cmd.bStartSelfTestReq,BOOL,,OFF,,,"HMI 待机态开始动态自检请求, INPUT_ADAPTER 经 R_TRIG 生成 System.Cmd.bStartSelfTest",D489.3,
,HMI.Sys.Cmd.bServiceDoneReq,BOOL,,OFF,,,"HMI 服务完成请求, INPUT_ADAPTER 经 R_TRIG 生成 System.Cmd.bServiceDone",D489.4,
,HMI.Sys.Cmd.bReadyCheckReq,BOOL,,OFF,,,"手动重新资格检查, INPUT_ADAPTER 经 R_TRIG 生成 System.Cmd.bReadyCheckReq",D489.5,
,HMI.Sys.Cmd.bQuickStartReq,BOOL,,OFF,,,"HMI 快速启动请求, INPUT_ADAPTER 经 R_TRIG 生成 System.Cmd.bQuickStart",D489.6,
,HMI.Sys.Cmd.bForceSkipSelfTestReq,BOOL,,OFF,,,"HMI 强制跳过自检请求, INPUT_ADAPTER 经 R_TRIG 生成 System.Cmd.bForceSkipSelfTest",D489.7,
,HMI.Sys.Cmd.bClearZeroRetainReq,BOOL,,OFF,,,"HMI 清除建零Retain请求, INPUT_ADAPTER 经 R_TRIG 生成 System.Cmd.bClearZeroRetain",D489.8,
,HMI.Sys.Cmd.bLearnImpactBiasReq,BOOL,,OFF,,,冲击轴扭矩基线学习请求,D489.9,
,HMI.Sys.Cmd.bPadHmi0,BOOL,,OFF,,,,D489.10,
,HMI.Sys.Status,Stru_HMI_SysDisplay,,...,,,,,
,HMI.Sys.Status.rTailDriftPulse,REAL,,0.000000,,,电推杆偏移量 (pulse),D490,
,HMI.Sys.Status.diUpTime,DINT,,0,,, 本次开机累计运行时间 (= System.Status.diUpTime),D492,
,HMI.Sys.Status.diReadyCheckResult,DINT,,0,,,,D494,
,HMI.Sys.Status.iState,INT,,0,,,= System.Status.iState,D496,
,HMI.Sys.Status.iPhase,INT,,0,,,,D497,
,HMI.Sys.Status.iInitErrorCode,INT,,0,,,,D498,
,HMI.Sys.Status.iErrorCode,INT,,0,,,,D499,
,HMI.Sys.Status.iErrorSubCode,INT,,0,,,,D500,
,HMI.Sys.Status.iErrorLevel,INT,,0,,,,D501,
,HMI.Sys.Status.iErrorSource,INT,,0,,,,D502,
,HMI.Sys.Status.iHealthLevel,INT,,0,,,,D503,
,HMI.Sys.Status.iTaskPhase,INT,,0,,,当前活跃 Task TaskResult.iPhase,D504,
,HMI.Sys.Status.iBlockReason,INT,,0,,,当前活跃 Task TaskResult.iBlockReason,D505,
,HMI.Sys.Status.iWorkMode,INT,,0,,,System.Param.iWorkMode (当前业务模式),D506,
,HMI.Sys.Status.iPadInt,BOOL,,OFF,,,,D507.0,
,HMI.Sys.Status.bInitialized,BOOL,,OFF,,,系统已初始化完成,D507.1,
,HMI.Sys.Status.bParamInitialized,BOOL,,OFF,,, Retain 参数已加载,D507.2,
,HMI.Sys.Status.bAutoProcessRunning,BOOL,,OFF,,, 自动业务流程活跃 (STATE_AUTORUN 下的调理/老化任务运行中),D507.3,
,HMI.Sys.Status.bPowerOn,BOOL,,OFF,,,全轴已上电/使能,D507.4,
,HMI.Sys.Status.bPoweringUp,BOOL,,OFF,,,正在执行分时上电,D507.5,
,HMI.Sys.Status.bNeedReset,BOOL,,OFF,,,当前存在必须复位的错误,D507.6,
,HMI.Sys.Status.bTailSensorAtBoot,BOOL,,OFF,,,开机瞬间原点传感器状态,D507.7,
,HMI.Sys.Status.bHealthCheckSkipped,BOOL,,OFF,,,,D507.8,
,HMI.Sys.Status.bAllAxesReferenced,BOOL,,OFF,,,全轴参考有效/回零语义成立,D507.9,
,HMI.Sys.Status.bAllAxesHomed,BOOL,,OFF,,,兼容显示 (= System.Status.bAllAxesReferenced),D507.10,
,HMI.Sys.Status.bAllAxesAtInit,BOOL,,OFF,,,全轴在初始位附近,D507.11,
,HMI.Sys.Status.bAllAxesIdle,BOOL,,OFF,,,全轴空闲,D507.12,
,HMI.Sys.Status.bAnyAxisAtLimit,BOOL,,OFF,,,任一轴处于限位,D507.13,
,HMI.Sys.Status.bReady,BOOL,,OFF,,,,D507.14,
,HMI.Sys.Status.bSafeToStart,BOOL,,OFF,,,,D507.15,
,HMI.Sys.Status.bBusy,BOOL,,OFF,,,,D508.0,
,HMI.Sys.Status.bParamError,BOOL,,OFF,,,,D508.1,
,HMI.Sys.Status.bAbsPositionValid,BOOL,,OFF,,,位置可信 (HMI 可显示提示),D508.2,
,HMI.Sys.Status.bSensitiveRunning,BOOL,,OFF,,,敏感运行 (HMI 可显示提示),D508.3,
,HMI.Sys.Status.bIsEmergency,BOOL,,OFF,,,急停(iState >= 110),D508.4,
,HMI.Sys.Status.bSelfTestDone,BOOL,,OFF,,,,D508.5,
,HMI.Sys.Status.bSkipSelfTestAllowed,BOOL,,OFF,,,,D508.6,
,HMI.Sys.Status.bForceSkipSelfTestAllowed,BOOL,,OFF,,,,D508.7,
,HMI.Sys.ErrorQueue,Stru_ErrorQueue,,...,,,,,
,HMI.Sys.ErrorQueue.aEntries,Stru_ErrorEntry[9],,...,,,10 条错误缓冲区 (索引 0-9),,
,HMI.Sys.ErrorQueue.aEntries[0],Stru_ErrorEntry,,...,,,,,
,HMI.Sys.ErrorQueue.aEntries[0].iLevel,INT,,0,,,级别 (0=Info 1=Warning 2=Critical),D509,
,HMI.Sys.ErrorQueue.aEntries[0].iCode,INT,,0,,,"错误(1xxx~6xxx, CONST_Definitions)",D510,
,HMI.Sys.ErrorQueue.aEntries[0].iSource,INT,,0,,,"错误来源: 0=System, 1=ChestImpact, 2=LegAngle, 3=SeatTwist, 4=TailTilt, 5=Process",D511,
,HMI.Sys.ErrorQueue.aEntries[0].iVal1,INT,,0,,,附加参数 (如轴ID、步骤号等，用于定位具体原因),D512,
,HMI.Sys.ErrorQueue.aEntries[0].diTimestamp,DINT,,0,,,"发生时间戳 (相对于系统启动的毫秒数, 可用于排序和时间线分析)",D513,
,HMI.Sys.ErrorQueue.aEntries[1],Stru_ErrorEntry,,...,,,,,
,HMI.Sys.ErrorQueue.aEntries[1].iLevel,INT,,0,,,级别 (0=Info 1=Warning 2=Critical),D515,
,HMI.Sys.ErrorQueue.aEntries[1].iCode,INT,,0,,,"错误(1xxx~6xxx, CONST_Definitions)",D516,
,HMI.Sys.ErrorQueue.aEntries[1].iSource,INT,,0,,,"错误来源: 0=System, 1=ChestImpact, 2=LegAngle, 3=SeatTwist, 4=TailTilt, 5=Process",D517,
,HMI.Sys.ErrorQueue.aEntries[1].iVal1,INT,,0,,,附加参数 (如轴ID、步骤号等，用于定位具体原因),D518,
,HMI.Sys.ErrorQueue.aEntries[1].diTimestamp,DINT,,0,,,"发生时间戳 (相对于系统启动的毫秒数, 可用于排序和时间线分析)",D519,
,HMI.Sys.ErrorQueue.aEntries[2],Stru_ErrorEntry,,...,,,,,
,HMI.Sys.ErrorQueue.aEntries[2].iLevel,INT,,0,,,级别 (0=Info 1=Warning 2=Critical),D521,
,HMI.Sys.ErrorQueue.aEntries[2].iCode,INT,,0,,,"错误(1xxx~6xxx, CONST_Definitions)",D522,
,HMI.Sys.ErrorQueue.aEntries[2].iSource,INT,,0,,,"错误来源: 0=System, 1=ChestImpact, 2=LegAngle, 3=SeatTwist, 4=TailTilt, 5=Process",D523,
,HMI.Sys.ErrorQueue.aEntries[2].iVal1,INT,,0,,,附加参数 (如轴ID、步骤号等，用于定位具体原因),D524,
,HMI.Sys.ErrorQueue.aEntries[2].diTimestamp,DINT,,0,,,"发生时间戳 (相对于系统启动的毫秒数, 可用于排序和时间线分析)",D525,
,HMI.Sys.ErrorQueue.aEntries[3],Stru_ErrorEntry,,...,,,,,
,HMI.Sys.ErrorQueue.aEntries[3].iLevel,INT,,0,,,级别 (0=Info 1=Warning 2=Critical),D527,
,HMI.Sys.ErrorQueue.aEntries[3].iCode,INT,,0,,,"错误(1xxx~6xxx, CONST_Definitions)",D528,
,HMI.Sys.ErrorQueue.aEntries[3].iSource,INT,,0,,,"错误来源: 0=System, 1=ChestImpact, 2=LegAngle, 3=SeatTwist, 4=TailTilt, 5=Process",D529,
,HMI.Sys.ErrorQueue.aEntries[3].iVal1,INT,,0,,,附加参数 (如轴ID、步骤号等，用于定位具体原因),D530,
,HMI.Sys.ErrorQueue.aEntries[3].diTimestamp,DINT,,0,,,"发生时间戳 (相对于系统启动的毫秒数, 可用于排序和时间线分析)",D531,
