序号,变量名,数据类型,隐藏初始值,初始值,掉电保持,网络公开,注释,软元件地址,
,HMI_Raw.SeatTwist.Status.Servo.bEncoderFault,BOOL,,OFF,,,编码器故障 (MONITOR 用于计算 bAbsPositionValid),,
,HMI_Raw.SeatTwist.Status.Servo.pad0,BOOL,,OFF,,,,,
,HMI_Raw.SeatTwist.Status.Servo.pad1,BOOL,,OFF,,,,,
,HMI_Raw.SeatTwist.Status.Servo.pad2,BOOL,,OFF,,,,,
,HMI_Raw.SeatTwist.Status.Servo.bPad3,BOOL,,OFF,,,,,
,HMI_Raw.SeatTwist.Status.Force,Stru_AxisForceStatus,,...,,,力估算与超力状态,,
,HMI_Raw.SeatTwist.Status.Force.rBiasPosPct,REAL,,0.000000,,,正扭矩侧静止基线 (%),,
,HMI_Raw.SeatTwist.Status.Force.rBiasNegPct,REAL,,0.000000,,,负扭矩侧静止基线 (%),,
,HMI_Raw.SeatTwist.Status.Force.rNetTorquePct,REAL,,0.000000,,,扣基线后的净扭矩 (%),,
,HMI_Raw.SeatTwist.Status.Force.rForceRawN,REAL,,0.000000,,,未滤波牵引力估算 (N),,
,HMI_Raw.SeatTwist.Status.Force.rForceFiltN,REAL,,0.000000,,,低通后牵引力估算 (N),,
,HMI_Raw.SeatTwist.Status.Force.diOverForceET,DINT,,0,,,超力持续时间 (ms),,
,HMI_Raw.SeatTwist.Status.Force.bForceValid,BOOL,,OFF,,,当前力估算有效,,
,HMI_Raw.SeatTwist.Status.Force.bBiasPosValid,BOOL,,OFF,,,正侧基线已学习,,
,HMI_Raw.SeatTwist.Status.Force.bBiasNegValid,BOOL,,OFF,,,负侧基线已学习,,
,HMI_Raw.SeatTwist.Status.Force.bOverForce,BOOL,,OFF,,,超力实时态,,
,HMI_Raw.SeatTwist.Status.Force.bOverForceLatched,BOOL,,OFF,,,超力锁存,,
,HMI_Raw.SeatTwist.Status.Force.bPad0,BOOL,,OFF,,,对齐填充,,
,HMI_Raw.SeatTwist.Status.iCurrentStep,INT,,0,,,"当前运动步骤 (0=空闲, 1-N=执行中)",,
,HMI_Raw.SeatTwist.Status.iPadInt,INT,,0,,,对齐填充,,
,HMI_Raw.SeatTwist.Status.diWaitingTime,DINT,,0,,,等待时间 (ms),,
,HMI_Raw.SeatTwist.Status.diMotionTime,DINT,,0,,,运动用时 (ms),,
,HMI_Raw.SeatTwist.Status.iErrorCode,INT,,0,,,[镜像] = Servo.iErrorCode (HMI 使用),,
,HMI_Raw.SeatTwist.Status.bCalibrated,BOOL,,OFF,,,已标定 (Servo 没有此状态),,
,HMI_Raw.SeatTwist.Status.bError,BOOL,,OFF,,,,,
,HMI_Raw.SeatTwist.Status.bWarning,BOOL,,OFF,,,警告激活 (区别于 Servo.bError),,
,HMI_Raw.SeatTwist.Status.bAxisErrorStopping,BOOL,,OFF,,,轴错误停止中 (区别于 Servo.bStopping),,
,HMI_Raw.SeatTwist.Status.bAtInit,BOOL,,OFF,,,在初始位置容差内,,
,HMI_Raw.SeatTwist.Status.bPad0,BOOL,,OFF,,,,,
,HMI_Raw.SeatTwist.Cmd,Stru_AxisCmd,,...,,,,,
,HMI_Raw.SeatTwist.Cmd.bEnable,BOOL,,OFF,,,"使能, 触发伺服上电",,
,HMI_Raw.SeatTwist.Cmd.bReset,BOOL,,OFF,,,"复位, 清除轴错误",,
,HMI_Raw.SeatTwist.Cmd.bZeroCommission,BOOL,,OFF,,,"原点标定 (仅工厂模式, 触发 MC_Home, 运行期禁止)",,
,HMI_Raw.SeatTwist.Cmd.bStop,BOOL,,OFF,,,"停止, 立即减速停车",,
,HMI_Raw.SeatTwist.Cmd.bMoveAbs,BOOL,,OFF,,,"绝对定位, 移动到 rTargetPo",,
,HMI_Raw.SeatTwist.Cmd.bMoveRel,BOOL,,OFF,,,"相对定位, 移动 rTargetPos 距离",,
,HMI_Raw.SeatTwist.Cmd.bJogPos,BOOL,,OFF,,,"正向点动, 按住持续动作",,
,HMI_Raw.SeatTwist.Cmd.bJogNeg,BOOL,,OFF,,,"负向点动, 按住持续动作",,
,HMI_Raw.SeatTwist.Cmd.bAutoMove,BOOL,,OFF,,,,,
,HMI_Raw.SeatTwist.Cmd.bMoveBuffer,BOOL,,OFF,,,,,
,HMI_Raw.SeatTwist.Cmd.bRequestDisable,BOOL,,OFF,,, 请求断使能 (EMERGENCY_HOME 降级复位流程),,
,HMI_Raw.SeatTwist.Cmd.bPad0,BOOL,,OFF,,,,,
,HMI_Raw.SeatTwist.Cmd.pad1,BOOL,,OFF,,,,,
,HMI_Raw.SeatTwist.Cmd.pad2,BOOL,,OFF,,,,,
,HMI_Raw.SeatTwist.Cmd.pad3,BOOL,,OFF,,,,,
,HMI_Raw.SeatTwist.Cmd.pad4,BOOL,,OFF,,,,,
,HMI_Raw.SeatTwist.Motion,Stru_AxisMotionParam,,...,,,,,
,HMI_Raw.SeatTwist.Motion.rTargetPos,REAL,,0.000000,,,目标位置,,
,HMI_Raw.SeatTwist.Motion.rTargetVel,REAL,,0.000000,,,目标速度,,
,HMI_Raw.SeatTwist.Motion.rJogVel,REAL,,0.000000,,,点动速度,,
,HMI_Raw.SeatTwist.Motion.rAcc,REAL,,0.000000,,,加速度,,
,HMI_Raw.SeatTwist.Motion.rDec,REAL,,0.000000,,,减速度,,
,HMI_Raw.SeatTwist.Motion.rInitPos,REAL,,0.000000,,,初始位置,,
,HMI_Raw.SeatTwist.Motion.diTimeout,DINT,,0,,,,,
,HMI_Raw.SeatTwist.Motion.rReserved,REAL,,0.000000,,,,,
,HMI_Raw.SeatTwist.Config,Stru_AxisLimitConfig,,...,,,,,
,HMI_Raw.SeatTwist.Config.rPosLimit,REAL,,0.000000,,,正限位 (°或mm),,
,HMI_Raw.SeatTwist.Config.rNegLimit,REAL,,0.000000,,,负限位 (°或mm),,
