序号,成员变量名,数据类型,注释,
,Condition.Param.ChestImpact.arPosition[3],REAL,,
,Condition.Param.ChestImpact.arPosition[4],REAL,,
,Condition.Param.ChestImpact.arPosition[5],REAL,,
,Condition.Param.ChestImpact.arPosition[6],REAL,,
,Condition.Param.ChestImpact.arPosition[7],REAL,,
,Condition.Param.ChestImpact.arPosition[8],REAL,,
,Condition.Param.ChestImpact.arPosition[9],REAL,,
,Condition.Param.ChestImpact.arPosition[10],REAL,,
,Condition.Param.ChestImpact.arPosition[11],REAL,,
,Condition.Param.ChestImpact.arPosition[12],REAL,,
,Condition.Param.ChestImpact.arPosition[13],REAL,,
,Condition.Param.ChestImpact.arPosition[14],REAL,,
,Condition.Param.ChestImpact.arPosition[15],REAL,,
,Condition.Param.ChestImpact.arVelocity,REAL[16],,
,Condition.Param.ChestImpact.arVelocity[0],REAL,,
,Condition.Param.ChestImpact.arVelocity[1],REAL,,
,Condition.Param.ChestImpact.arVelocity[2],REAL,,
,Condition.Param.ChestImpact.arVelocity[3],REAL,,
,Condition.Param.ChestImpact.arVelocity[4],REAL,,
,Condition.Param.ChestImpact.arVelocity[5],REAL,,
,Condition.Param.ChestImpact.arVelocity[6],REAL,,
,Condition.Param.ChestImpact.arVelocity[7],REAL,,
,Condition.Param.ChestImpact.arVelocity[8],REAL,,
,Condition.Param.ChestImpact.arVelocity[9],REAL,,
,Condition.Param.ChestImpact.arVelocity[10],REAL,,
,Condition.Param.ChestImpact.arVelocity[11],REAL,,
,Condition.Param.ChestImpact.arVelocity[12],REAL,,
,Condition.Param.ChestImpact.arVelocity[13],REAL,,
,Condition.Param.ChestImpact.arVelocity[14],REAL,,
,Condition.Param.ChestImpact.arVelocity[15],REAL,,
,Condition.Param.ChestImpact.rAcc,REAL,"(* 加速度：运动加速阶段的加速度       ?? 必须 > 0，否则运动异常！       单位：用户单位/秒2 *)",
,Condition.Param.ChestImpact.rDec,REAL,"  (* 减速度：运动减速阶段的减速度       ?? 必须 > 0，否则运动异常！       单位：用户单位/秒2 *)",
,Condition.Param.ChestImpact.rInitialPosition,REAL,"初始位置：运动开始前的参考位置       用于某些需要回原点的场景       单位：用户单位",
,Condition.Param.ChestImpact.rReserved,REAL,,
,Condition.Param.ChestImpact.iVelocityMode,INT,"速度切换模式 (* 速度模式：       0 = 各段使用独立速度（arVelocity 数组）       1 = 所有段使用 arVelocity[0] 的速度 *)",
,Condition.Param.ChestImpact.iCycleModeLen,INT," 方向数组有效长度：abCycleMode 的有效元素个数       范围：1 ~ 16       例如 iCycleModeLen=2 时，方向按 [0,1,0,1...] 循环",
,Condition.Param.ChestImpact.iCycleCount,INT,"循环次数：该轴独立的循环次数设置       -1 = 使用 Stru_工作参数.iCycleCount 全局值       ≥0 = 使用此独立值       一次循环 = 执行完 arPosition 全部段 ",
,Condition.Param.ChestImpact.iSignalMode,INT,"信号模式：该轴独立的信号触发模式       -1 = 使用 Stru_工作参数.iSignalMode 全局值       0  = 点动模式：每次循环都需要信号触发       1  = 连动模式：首次需要信号，后续自动执行",
