序号,成员变量名,数据类型,注释,
,Param.diBatchCount,DINT,,
,Param.diBatchInterval,DINT,,
,Param.diTotalTimeout,DINT,,
,Param.diConfirmTimeout,DINT,,
,Param.iCycleCount,INT,,
,Param.iSignalMode,INT,,
2,Status,Stru_CondStatus,,
,Status.diActRunTime,DINT,,
,Status.diBatchCurrent,DINT,,
,Status.diBatchTarget,DINT,,
,Status.diBatchRemainTime,DINT,,
,Status.iPhase,INT,,
,Status.iStep,INT,,
,Status.iCurrentCycle,INT,,
,Status.iTargetCycles,INT,,
,Status.iErrorCode,INT,,
,Status.iErrorLevel,INT,,
,Status.iParamError,INT,,
,Status.iParamErrorAxis,INT,,
,Status.iParamErrorField,INT,,
,Status.pad_int,INT,,
,Status.bRunning,BOOL,,
,Status.bDone,BOOL,,
,Status.bPaused,BOOL,,
,Status.bError,BOOL,,
,Status.bBusy,BOOL,,
,Status.bWaitingAngle,BOOL,,
,Status.bHoming,BOOL,,
,Status.bAngleDone,BOOL,,
,Status.bWaitingSignal,BOOL,,
,Status.bMoving,BOOL,,
,Status.bHomeDone,BOOL,,
,Status.bManualStop,BOOL,,
,Status.bEmergencyStop,BOOL,,
,Status.bParamValid,BOOL,,
,Status.bApplyDone,BOOL,,
,Status.bResetDone,BOOL,,
,Status.bBatchDone,BOOL,,
3,Cmd,Stru_CondCmd,,
,Cmd.S1_StartProcess,BOOL,,
,Cmd.S2_StartChengJiao,BOOL,,
,Cmd.S3_AllowSignal,BOOL,,
,Cmd.bStop,BOOL,,
,Cmd.bSignal,BOOL,,
,Cmd.bReset,BOOL,,
,Cmd.bPause,BOOL,,
,Cmd.bResume,BOOL,,
,Cmd.bSkipAngle,BOOL,,
,Cmd.bPpad,BOOL[7],,
,Cmd.bPpad[0],BOOL,,
,Cmd.bPpad[1],BOOL,,
,Cmd.bPpad[2],BOOL,,
,Cmd.bPpad[3],BOOL,,
,Cmd.bPpad[4],BOOL,,
,Cmd.bPpad[5],BOOL,,
,Cmd.bPpad[6],BOOL,,
4,ParamBuffer,Stru_CondParams,,
,ParamBuffer.SeatTwist,Stru_ReciprocationSettings,,
,ParamBuffer.SeatTwist.arPosition,REAL[16],,
,ParamBuffer.SeatTwist.arPosition[0],REAL,,
,ParamBuffer.SeatTwist.arPosition[1],REAL,,
,ParamBuffer.SeatTwist.arPosition[2],REAL,,
,ParamBuffer.SeatTwist.arPosition[3],REAL,,
,ParamBuffer.SeatTwist.arPosition[4],REAL,,
,ParamBuffer.SeatTwist.arPosition[5],REAL,,
,ParamBuffer.SeatTwist.arPosition[6],REAL,,
,ParamBuffer.SeatTwist.arPosition[7],REAL,,
,ParamBuffer.SeatTwist.arPosition[8],REAL,,
,ParamBuffer.SeatTwist.arPosition[9],REAL,,
,ParamBuffer.SeatTwist.arPosition[10],REAL,,
,ParamBuffer.SeatTwist.arPosition[11],REAL,,
,ParamBuffer.SeatTwist.arPosition[12],REAL,,
,ParamBuffer.SeatTwist.arPosition[13],REAL,,
,ParamBuffer.SeatTwist.arPosition[14],REAL,,
,ParamBuffer.SeatTwist.arPosition[15],REAL,,
,ParamBuffer.SeatTwist.arVelocity,REAL[16],,
,ParamBuffer.SeatTwist.arVelocity[0],REAL,,
,ParamBuffer.SeatTwist.arVelocity[1],REAL,,
,ParamBuffer.SeatTwist.arVelocity[2],REAL,,
,ParamBuffer.SeatTwist.arVelocity[3],REAL,,
,ParamBuffer.SeatTwist.arVelocity[4],REAL,,
,ParamBuffer.SeatTwist.arVelocity[5],REAL,,
,ParamBuffer.SeatTwist.arVelocity[6],REAL,,
,ParamBuffer.SeatTwist.arVelocity[7],REAL,,
,ParamBuffer.SeatTwist.arVelocity[8],REAL,,
,ParamBuffer.SeatTwist.arVelocity[9],REAL,,
,ParamBuffer.SeatTwist.arVelocity[10],REAL,,
,ParamBuffer.SeatTwist.arVelocity[11],REAL,,
,ParamBuffer.SeatTwist.arVelocity[12],REAL,,
,ParamBuffer.SeatTwist.arVelocity[13],REAL,,
,ParamBuffer.SeatTwist.arVelocity[14],REAL,,
,ParamBuffer.SeatTwist.arVelocity[15],REAL,,
,ParamBuffer.SeatTwist.rAcc,REAL,,
,ParamBuffer.SeatTwist.rDec,REAL,,
,ParamBuffer.SeatTwist.rInitialPosition,REAL,,
,ParamBuffer.SeatTwist.rReserved,REAL,,
,ParamBuffer.SeatTwist.iVelocityMode,INT,,
,ParamBuffer.SeatTwist.iCycleModeLen,INT,,
,ParamBuffer.SeatTwist.iCycleCount,INT,,
,ParamBuffer.SeatTwist.iSignalMode,INT,,
,ParamBuffer.SeatTwist.iSegmentCount,INT,,
,ParamBuffer.SeatTwist.iPadInt,INT,,
,ParamBuffer.SeatTwist.bEnabled,BOOL,,
,ParamBuffer.SeatTwist.bOneWay,BOOL,,
,ParamBuffer.SeatTwist.abCycleMode,BOOL[16],,
,ParamBuffer.SeatTwist.abCycleMode[0],BOOL,,
,ParamBuffer.SeatTwist.abCycleMode[1],BOOL,,
,ParamBuffer.SeatTwist.abCycleMode[2],BOOL,,
,ParamBuffer.SeatTwist.abCycleMode[3],BOOL,,
,ParamBuffer.SeatTwist.abCycleMode[4],BOOL,,
,ParamBuffer.SeatTwist.abCycleMode[5],BOOL,,
,ParamBuffer.SeatTwist.abCycleMode[6],BOOL,,
,ParamBuffer.SeatTwist.abCycleMode[7],BOOL,,
,ParamBuffer.SeatTwist.abCycleMode[8],BOOL,,
,ParamBuffer.SeatTwist.abCycleMode[9],BOOL,,
,ParamBuffer.SeatTwist.abCycleMode[10],BOOL,,
,ParamBuffer.SeatTwist.abCycleMode[11],BOOL,,
,ParamBuffer.SeatTwist.abCycleMode[12],BOOL,,
,ParamBuffer.SeatTwist.abCycleMode[13],BOOL,,
,ParamBuffer.SeatTwist.abCycleMode[14],BOOL,,
,ParamBuffer.SeatTwist.abCycleMode[15],BOOL,,
,ParamBuffer.SeatTwist.bPad0,BOOL,,
,ParamBuffer.SeatTwist.bPad1,BOOL,,
,ParamBuffer.LegAngle,Stru_ReciprocationSettings,,
,ParamBuffer.LegAngle.arPosition,REAL[16],,
,ParamBuffer.LegAngle.arPosition[0],REAL,,
,ParamBuffer.LegAngle.arPosition[1],REAL,,
,ParamBuffer.LegAngle.arPosition[2],REAL,,
,ParamBuffer.LegAngle.arPosition[3],REAL,,
,ParamBuffer.LegAngle.arPosition[4],REAL,,
,ParamBuffer.LegAngle.arPosition[5],REAL,,
,ParamBuffer.LegAngle.arPosition[6],REAL,,
,ParamBuffer.LegAngle.arPosition[7],REAL,,
,ParamBuffer.LegAngle.arPosition[8],REAL,,
,ParamBuffer.LegAngle.arPosition[9],REAL,,
,ParamBuffer.LegAngle.arPosition[10],REAL,,
,ParamBuffer.LegAngle.arPosition[11],REAL,,
,ParamBuffer.LegAngle.arPosition[12],REAL,,
,ParamBuffer.LegAngle.arPosition[13],REAL,,
,ParamBuffer.LegAngle.arPosition[14],REAL,,
,ParamBuffer.LegAngle.arPosition[15],REAL,,
,ParamBuffer.LegAngle.arVelocity,REAL[16],,
,ParamBuffer.LegAngle.arVelocity[0],REAL,,
,ParamBuffer.LegAngle.arVelocity[1],REAL,,
,ParamBuffer.LegAngle.arVelocity[2],REAL,,
,ParamBuffer.LegAngle.arVelocity[3],REAL,,
,ParamBuffer.LegAngle.arVelocity[4],REAL,,
,ParamBuffer.LegAngle.arVelocity[5],REAL,,
,ParamBuffer.LegAngle.arVelocity[6],REAL,,
,ParamBuffer.LegAngle.arVelocity[7],REAL,,
,ParamBuffer.LegAngle.arVelocity[8],REAL,,
,ParamBuffer.LegAngle.arVelocity[9],REAL,,
,ParamBuffer.LegAngle.arVelocity[10],REAL,,
,ParamBuffer.LegAngle.arVelocity[11],REAL,,
,ParamBuffer.LegAngle.arVelocity[12],REAL,,
,ParamBuffer.LegAngle.arVelocity[13],REAL,,
,ParamBuffer.LegAngle.arVelocity[14],REAL,,
,ParamBuffer.LegAngle.arVelocity[15],REAL,,
,ParamBuffer.LegAngle.rAcc,REAL,,
,ParamBuffer.LegAngle.rDec,REAL,,
,ParamBuffer.LegAngle.rInitialPosition,REAL,,
,ParamBuffer.LegAngle.rReserved,REAL,,
,ParamBuffer.LegAngle.iVelocityMode,INT,,
,ParamBuffer.LegAngle.iCycleModeLen,INT,,
,ParamBuffer.LegAngle.iCycleCount,INT,,
,ParamBuffer.LegAngle.iSignalMode,INT,,
,ParamBuffer.LegAngle.iSegmentCount,INT,,
,ParamBuffer.LegAngle.iPadInt,INT,,
,ParamBuffer.LegAngle.bEnabled,BOOL,,
,ParamBuffer.LegAngle.bOneWay,BOOL,,
,ParamBuffer.LegAngle.abCycleMode,BOOL[16],,
,ParamBuffer.LegAngle.abCycleMode[0],BOOL,,
,ParamBuffer.LegAngle.abCycleMode[1],BOOL,,
,ParamBuffer.LegAngle.abCycleMode[2],BOOL,,
,ParamBuffer.LegAngle.abCycleMode[3],BOOL,,
,ParamBuffer.LegAngle.abCycleMode[4],BOOL,,
,ParamBuffer.LegAngle.abCycleMode[5],BOOL,,
,ParamBuffer.LegAngle.abCycleMode[6],BOOL,,
,ParamBuffer.LegAngle.abCycleMode[7],BOOL,,
,ParamBuffer.LegAngle.abCycleMode[8],BOOL,,
,ParamBuffer.LegAngle.abCycleMode[9],BOOL,,
,ParamBuffer.LegAngle.abCycleMode[10],BOOL,,
,ParamBuffer.LegAngle.abCycleMode[11],BOOL,,
,ParamBuffer.LegAngle.abCycleMode[12],BOOL,,
,ParamBuffer.LegAngle.abCycleMode[13],BOOL,,
,ParamBuffer.LegAngle.abCycleMode[14],BOOL,,
,ParamBuffer.LegAngle.abCycleMode[15],BOOL,,
,ParamBuffer.LegAngle.bPad0,BOOL,,
,ParamBuffer.LegAngle.bPad1,BOOL,,
,ParamBuffer.ChestImpact,Stru_ReciprocationSettings,,
,ParamBuffer.ChestImpact.arPosition,REAL[16],,
,ParamBuffer.ChestImpact.arPosition[0],REAL,,
,ParamBuffer.ChestImpact.arPosition[1],REAL,,
,ParamBuffer.ChestImpact.arPosition[2],REAL,,
,ParamBuffer.ChestImpact.arPosition[3],REAL,,
,ParamBuffer.ChestImpact.arPosition[4],REAL,,
,ParamBuffer.ChestImpact.arPosition[5],REAL,,
,ParamBuffer.ChestImpact.arPosition[6],REAL,,
,ParamBuffer.ChestImpact.arPosition[7],REAL,,
,ParamBuffer.ChestImpact.arPosition[8],REAL,,
,ParamBuffer.ChestImpact.arPosition[9],REAL,,
,ParamBuffer.ChestImpact.arPosition[10],REAL,,
,ParamBuffer.ChestImpact.arPosition[11],REAL,,
,ParamBuffer.ChestImpact.arPosition[12],REAL,,
,ParamBuffer.ChestImpact.arPosition[13],REAL,,
,ParamBuffer.ChestImpact.arPosition[14],REAL,,
,ParamBuffer.ChestImpact.arPosition[15],REAL,,
,ParamBuffer.ChestImpact.arVelocity,REAL[16],,
,ParamBuffer.ChestImpact.arVelocity[0],REAL,,
,ParamBuffer.ChestImpact.arVelocity[1],REAL,,
